"Last Activity";"Account Owner";"Account Name";"Type";"Website";"Billing Country";"Industry";"Employees";"Account Source";"Created Date"
"";"Soroush Mozooni";"Granholm Solutions BVBA";"Customer";"granholm-solutions.be";"Belgium";"Manufacturing";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Elmhurst Trading S.p.A.";"Customer";"elmhurst-trading.it/";"Italy";"Transportation";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Caldwell Systems Sp. z o.o.";"Prospect";"caldwell-systems.pl";"Poland";"Manufacturing";"";"";"14.08.2026"
"";"Soroush Mozooni";"Fairweather Holdings GmbH";"Customer";"fairweather-holdings.de";"Germany";"Manufacturing";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Hollowbrook Retail N.V.";"Prospect";"hollowbrook-retail.nl";"Netherlands";"";"";"";"14.08.2026"
"";"Soroush Mozooni";"Tanglewood Group Sp. z o.o.";"Prospect";"tanglewood-group.pl";"Poland";"Retail";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Juniper Holdings Sp. z o.o.";"Prospect";"juniper-holdings.pl";"Poland";"Technology";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Nordvik Supply A/S";"Customer";"nordvik-supply.dk";"Denmark";"Manufacturing";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Kestrel Trading AG";"Prospect";"kestrel-trading.de";"Germany";"Hospitality";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Zephyrine Commerce B.V.";"Prospect";"zephyrine-commerce.nl";"Netherlands";"Manufacturing";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Northwind Trading Sp. z o.o.";"Customer";"northwind-trading.pl";"Poland";"Retail";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Havenhill Digital AB";"Customer";"havenhill-digital.se";"Sweden";"Technology";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Westmarch Solutions SARL";"Customer";"westmarch-solutions.fr";"France";"Transportation";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Thornbury Group B.V.";"Customer";"thornbury-group.nl";"Netherlands";"Manufacturing";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Meridian Holdings ApS";"Customer";"meridian-holdings.dk";"Denmark";"Transportation";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Brightwater Digital DAC";"Customer";"brightwater-digital.ie";"Ireland";"Manufacturing";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Larkspur Systems B.V.";"Prospect";"larkspur-systems.nl";"Netherlands";"Technology";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Fenwick Commerce S.A.";"Prospect";"fenwick-commerce.es";"Spain";"Hospitality";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Alderway Systems Sp. z o.o.";"Customer";"alderway-systems.pl";"Poland";"Transportation";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Ullswater Systems SARL";"Customer";"ullswater-systems..fr";"France";"Hospitality";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Voss Retail SARL";"Customer";"voss-retail .fr";"France";"Technology";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Aldergate Ventures AG";"Prospect";"aldergate-ventures.de";"Germany";"Transportation";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Quillfeather Commerce Ltd";"Customer";"quillfeather-commerce.ie";"Ireland";"Manufacturing";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Halden Partners SARL";"Prospect";"halden-partners.fr";"France";"Technology";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Blackthorn Digital AG";"Prospect";"blackthorn-digital.de";"Germany";"Technology";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Glasshouse Commerce Sp. z o.o.";"Prospect";"glasshouse-commerce.pl";"Poland";"Retail";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Oakhaven Logistics SAS";"Customer";"oakhaven-logistics.fr";"France";"Hospitality";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Pemberton Ventures S.A.";"Customer";"pemberton-ventures.es";"Spain";"Hospitality";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Kirkwall Digital Ltd";"Prospect";"kirkwall-digital.ie";"Ireland";"Retail";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Drakeford Trading S.L.";"Prospect";"drakeford-trading.es";"Spain";"Transportation";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Lindholm Retail SARL";"Prospect";"lindholm-retail.fr";"France";"Retail";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Duskmoor Logistics Sp. z o.o.";"Prospect";"duskmoor-logistics.pl";"Poland";"Manufacturing";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Yarrowfield Retail B.V.";"Customer";"yarrowfield-retail.nl";"Netherlands";"Transportation";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Marchmont Partners Sp. z o.o.";"Customer";"";"Poland";"Retail";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Ironvale Supply ApS";"Customer";"ironvale-supply.dk";"Denmark";"Transportation";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Eastvale Trading GmbH";"Customer";"eastvale-trading.de";"Germany";"Manufacturing";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Cobblestone Holdings NV";"Prospect";"cobblestone-holdings.be";"Belgium";"Transportation";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Silverbeck Partners Sp. z o.o.";"Customer";"silverbeck-partners.pl";"Poland";"Manufacturing";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Ravensworth Partners SARL";"Customer";"ravensworth-partners.fr";"France";"Manufacturing";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Vandergrift Solutions NV";"Prospect";"vandergrift-solutions.be";"Belgium";"Manufacturing";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Granholm Commerce B.V.";"Prospect";"";"Netherlands";"Transportation";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Elmhurst Digital AB";"Prospect";"elmhurst-digital.se";"Sweden";"Retail";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Caldwell Ventures AG";"Customer";"caldwell-ventures.de";"Germany";"Manufacturing";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Fairweather Digital GmbH";"Customer";"fairweather-digital.de";"Germany";"Manufacturing";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Hollowbrook Supply B.V.";"Prospect";"hollowbrook-supply.nl";"Netherlands";"Technology";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Tanglewood Holdings BVBA";"Customer";"tanglewood-holdings.be";"Belgium";"Retail";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Juniper Ventures AG";"Customer";"juniper-ventures.de";"Germany";"";"";"";"14.08.2026"
"";"Soroush Mozooni";"Nordvik Partners Sp. z o.o.";"Customer";"nordvik-partners.pl";"Poland";"Manufacturing";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Kestrel Holdings S.L.";"Customer";"kestrel-holdings.es";"Spain";"Manufacturing";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Zephyrine Ventures N.V.";"Prospect";"zephyrine-ventures.nl";"Netherlands";"Retail";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Northwind Holdings NV";"Prospect";"northwind-holdings.be";"Belgium";"Hospitality";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Havenhill Supply B.V.";"Prospect";"havenhill-supply.nl";"Netherlands";"Manufacturing";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Westmarch Holdings N.V.";"Customer";"westmarch-holdings.nl";"Netherlands";"Manufacturing";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Thornbury Group GmbH";"Prospect";"thornbury-group.de";"Germany";"Transportation";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Meridian Holdings GmbH";"Customer";"";"Germany";"";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Brightwater Group SARL";"Customer";"brightwater-group.fr";"France";"Hospitality";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Larkspur Holdings S.p.A.";"Customer";"larkspur-holdings .it";"Italy";"Hospitality";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Fenwick Digital S.p.A.";"Prospect";"fenwick-digital.it";"Italy";"Retail";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Alderway Commerce NV";"Prospect";"alderway-commerce.be";"Belgium";"Hospitality";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Ullswater Digital GmbH";"Prospect";"ullswater-digital.de";"Germany";"Manufacturing";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Voss Systems S.r.l.";"Customer";"voss-systems.it/";"Italy";"Transportation";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Aldergate Digital AG";"Customer";"aldergate-digital.de";"Germany";"Technology";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Quillfeather Holdings AG";"Prospect";"quillfeather-holdings.de";"Germany";"Transportation";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Halden Supply DAC";"Customer";"halden-supply.ie";"Ireland";"Hospitality";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Blackthorn Digital AB";"Prospect";"blackthorn-digital .se";"Sweden";"Retail";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Glasshouse Ventures S.A.";"Customer";"glasshouse-ventures.es";"Spain";"Transportation";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Oakhaven Solutions GmbH";"Prospect";"oakhaven-solutions.de";"Germany";"Technology";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Pemberton Holdings NV";"Customer";"pemberton-holdings.be";"Belgium";"Retail";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Kirkwall Trading N.V.";"Customer";"kirkwall-trading.nl";"Netherlands";"Manufacturing";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Drakeford Group GmbH";"Customer";"drakeford-group.de";"Germany";"";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Lindholm Trading SARL";"Customer";"lindholm-trading.fr";"France";"Hospitality";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Duskmoor Systems DAC";"Customer";"duskmoor-systems.ie";"Ireland";"Retail";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Yarrowfield Partners SAS";"Prospect";"";"France";"Transportation";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Marchmont Holdings GmbH";"Prospect";"marchmont-holdings.de";"Germany";"Retail";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Ironvale Ventures S.r.l.";"Customer";"ironvale-ventures.it";"Italy";"unknown";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Eastvale Partners AG";"Customer";"eastvale-partners.de";"Germany";"Technology";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Cobblestone Ventures SARL";"Prospect";"cobblestone-ventures.fr";"France";"Hospitality";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Silverbeck Digital AG";"Prospect";"silverbeck-digital.de";"Germany";"Hospitality";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Ravensworth Systems B.V.";"Customer";"ravensworth-systems.nl";"Netherlands";"Technology";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Vandergrift Partners N.V.";"Customer";"vandergrift-partners.nl";"Netherlands";"Hospitality";"410";"";"14.08.2026"
"";"Soroush Mozooni";"Granholm Commerce SAS";"Customer";"granholm-commerce.fr";"France";"Transportation";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Elmhurst Group AG";"Prospect";"elmhurst-group.de";"Germany";"Hospitality";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Caldwell Supply N.V.";"Prospect";"caldwell-supply.nl";"Netherlands";"Retail";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Fairweather Systems S.L.";"Customer";"fairweather-systems.es";"Spain";"Transportation";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Hollowbrook Holdings S.p.A.";"Prospect";"";"Italy";"Technology";"";"";"14.08.2026"
"";"Soroush Mozooni";"Tanglewood Partners NV";"Customer";"tanglewood-partners.be";"Belgium";"Transportation";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Juniper Systems B.V.";"Prospect";"juniper-systems.nl";"Netherlands";"Transportation";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Nordvik Partners AG";"Prospect";"nordvik-partners.de";"Germany";"Manufacturing";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Kestrel Ventures N.V.";"Prospect";"";"Netherlands";"Transportation";"";"";"14.08.2026"
"";"Soroush Mozooni";"Zephyrine Systems AB";"Prospect";"zephyrine-systems.se";"Sweden";"Manufacturing";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Northwind Supply S.A.";"Prospect";"northwind-supply.es";"Spain";"Manufacturing";"";"";"14.08.2026"
"";"Soroush Mozooni";"Havenhill Group NV";"Customer";"havenhill-group.be";"Belgium";"Transportation";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Westmarch Partners B.V.";"Prospect";"westmarch-partners.nl";"Netherlands";"Hospitality";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Thornbury Logistics GmbH";"Customer";"thornbury-logistics.de";"Germany";"Manufacturing";"12";"";"14.08.2026"
"";"Soroush Mozooni";"Meridian Commerce AG";"Prospect";"meridian-commerce.de";"Germany";"Hospitality";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Brightwater Logistics B.V.";"Customer";"brightwater-logistics.nl";"Netherlands";"Transportation";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Larkspur Retail SAS";"Prospect";"larkspur-retail.fr";"France";"Transportation";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Fenwick Solutions SAS";"Customer";"fenwick-solutions.fr";"France";"Retail";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Alderway Holdings B.V.";"Customer";"alderway-holdings.nl";"Netherlands";"Manufacturing";"80";"";"14.08.2026"
